"";"endpoint";"operation";"tag"
"1";"/capabilities";"GET";"capabilities"
"2";"/capabilities/output_formats";"GET";"formats"
"3";"/capabilities/services";"GET";"ogc_services"
"4";"/data";"GET";"data_overview"
"5";"/data/opensearch";"GET";"data_search"
"6";"/data/{product_id}";"GET";"data_details"
"7";"/processes";"GET";"process_overview"
"8";"/processes/opensearch";"GET";"processes_search"
"9";"/processes/{processes_id}";"GET";"processes_details"
"10";"/udf_runtimes";"GET";"udf_runtimes"
"11";"/udf_runtimes/{lang}/{udf_type}";"GET";"udf_functions"
"12";"/users/{user_id}/process_graphs";"GET";"graph_overview"
"13";"/users/{user_id}/process_graphs";"POST";"new_graph"
"14";"/users/{user_id}/process_graphs/{process_graph_id}";"GET";"graph_details"
"15";"/users/{user_id}/process_graphs/{process_graph_id}";"PUT";"graph_replace"
"16";"/users/{user_id}/process_graphs/{process_graph_id}";"DELETE";"graph_delete"
"17";"/users/{user_id}/files";"GET";"user_files"
"18";"/users/{user_id}/files/{path}";"GET";"user_file_download"
"19";"/users/{user_id}/files/{path}";"PUT";"user_file_upload"
"20";"/users/{user_id}/files/{path}";"DELETE";"user_file_delete"
"21";"/users/{user_id}/jobs";"GET";"user_jobs"
"22";"/users/{user_id}/services";"GET";"user_services"
"23";"/users/{user_id}/credits";"GET";"user_credits"
"24";"/auth/login";"GET";"login"
"25";"/auth/register";"POST";"registration"
"26";"/execute";"POST";"execute_sync"
"27";"/services";"POST";"service_publish"
"28";"/jobs";"POST";"jobs_define"
"29";"/jobs/{job_id}";"PATCH";"jobs_update"
"30";"/jobs/{job_id}";"GET";"jobs_details"
"31";"/jobs/{job_id}/subscribe";"GET";"jobs_log"
"32";"/jobs/{job_id}/queue";"PATCH";"execute_async"
"33";"/jobs/{job_id}/pause";"PATCH";"jobs_pause"
"34";"/jobs/{job_id}/cancel";"PATCH";"jobs_cancel"
"35";"/jobs/{job_id}/download";"GET";"jobs_download"
"36";"/services/{service_id}";"GET";"services_details"
"37";"/services/{service_id}";"PATCH";"services_update"
"38";"/services/{service_id}";"DELETE";"services_delete"
